"scenario","network","repetition","record_count","simulated_node_count","pending_before","pending_after","global_pending_before","global_pending_after","trigger_iterations","queue_drain_seconds","avg_trigger_latency_ms","max_trigger_latency_ms","queued_records","synced_records","benchmark_pending_records","retried_records","retry_count_total","retry_collision_rate_pct","peak_retry_bucket","peak_request_rate_rps","shore_error_rate_pct","primary_cpu_percent","primary_memory_bytes","success","failure_reason","failure_note","started_at_utc","finished_at_utc"
"VSAT-1000-N1","VSAT","1","1000","1","1000","0","1000","0","1","16.385","12757.696","12757.696","1000","1000","0","0","0","0","0","1","0","0.48","456969421","True","","","2026-04-13T15:34:26.1902082Z","2026-04-13T15:34:47.6795998Z"
"VSAT-1000-N1","VSAT","2","1000","1","1000","0","1000","0","4","23.175","2490.946","3941.242","1000","1000","0","0","0","0","0","1","0","0.11","467140608","True","","","2026-04-13T15:34:48.9774758Z","2026-04-13T15:35:17.3657316Z"
"VSAT-1000-N1","VSAT","3","1000","1","1000","0","1000","0","1","14.531","10803.542","10803.542","1000","1000","0","0","0","0","0","1","0","0.02","472802918","True","","","2026-04-13T15:35:18.4392077Z","2026-04-13T15:35:38.2012954Z"
"VSAT-1000-N1","VSAT","4","1000","1","1000","0","1000","0","2","19.073","6238.52","9414.617","1000","1000","0","0","0","0","0","1","0","0.05","480352666","True","","","2026-04-13T15:35:39.5119756Z","2026-04-13T15:36:04.2946163Z"
"VSAT-1000-N1","VSAT","5","1000","1","1000","0","1000","0","1","14.716","11284.452","11284.452","1000","1000","0","0","0","0","0","1","0","0.03","486224691","True","","","2026-04-13T15:36:05.4409930Z","2026-04-13T15:36:25.1986550Z"
"LEO-1000-N1","LEO","1","1000","1","1000","0","1000","0","1","13.156","9788.26","9788.26","1000","1000","0","0","0","0","0","1","0","0.02","492201574","True","","","2026-04-13T15:36:26.4905852Z","2026-04-13T15:36:45.2249000Z"
"LEO-1000-N1","LEO","2","1000","1","1000","0","1000","2","1","15.139","11552.77","11552.77","1000","1000","0","0","0","0","0","1","0","0.05","498178458","True","","","2026-04-13T15:36:46.2183155Z","2026-04-13T15:37:06.5990727Z"
"LEO-1000-N1","LEO","3","1000","1","1000","0","1000","0","1","17.702","13874.787","13874.787","1000","1000","0","0","0","0","0","1","0","0.04","504050483","True","","","2026-04-13T15:37:08.1346457Z","2026-04-13T15:37:30.7744892Z"
"LEO-1000-N1","LEO","4","1000","1","1000","0","1000","0","2","20.561","6776.938","7655.404","1000","1000","0","0","0","0","0","1","0","0.03","511600230","True","","","2026-04-13T15:37:32.1425999Z","2026-04-13T15:37:58.6319114Z"
"LEO-1000-N1","LEO","5","1000","1","1000","0","1000","0","1","17.404","13507.455","13507.455","1000","1000","0","0","0","0","0","1","0","0.02","517681971","True","","","2026-04-13T15:37:59.9917407Z","2026-04-13T15:38:23.5707754Z"
