"scenario","network","repetition","record_count","pending_before","pending_after","trigger_iterations","queue_drain_seconds","avg_trigger_latency_ms","max_trigger_latency_ms","queued_records","synced_records","benchmark_pending_records","retried_records","retry_count_total","primary_cpu_percent","primary_memory_bytes","success","started_at_utc","finished_at_utc"
"4G-10000","4G","1","10000","10000","0","1","104.174","102121.066","102121.066","10000","10000","0","0","0","0.03","131701146","True","2026-03-21T18:18:36.6880158Z","2026-03-21T18:20:23.5435289Z"
"4G-1000","4G","1","1000","1000","0","1","11.371","9330.367","9330.367","1000","1000","0","0","0","0.19","67087892","True","2026-03-21T18:17:24.8473819Z","2026-03-21T18:17:38.3951258Z"
"4G-100","4G","1","100","100","0","1","3.071","1037.812","1037.812","100","100","0","0","0","4.22","67412951","True","2026-03-21T18:17:18.6742682Z","2026-03-21T18:17:24.0326880Z"
"4G-5000","4G","1","5000","5000","0","1","53.624","51582.134","51582.134","5000","5000","0","0","0","4.29","69981962","True","2026-03-21T18:17:39.6360230Z","2026-03-21T18:18:35.5193042Z"
"LAN-10000","LAN","1","10000","10000","0","1","99.106","97057.327","97057.327","10000","10000","0","0","0","0.15","67213722","True","2026-03-21T18:15:36.6972049Z","2026-03-21T18:17:17.9223308Z"
"LAN-1000","LAN","1","1000","1000","0","1","10.782","8747.131","8747.131","1000","1000","0","0","0","0.03","52407828","True","2026-03-21T18:14:16.0058489Z","2026-03-21T18:14:29.2073246Z"
"LAN-100","LAN","1","100","100","0","1","3.407","1346.47","1346.47","100","100","0","0","0","0.04","51170509","True","2026-03-21T18:14:09.6419654Z","2026-03-21T18:14:15.2223483Z"
"LAN-5000","LAN","1","5000","5000","0","1","61.541","59467.506","59467.506","5000","5000","0","0","0","0.03","58458112","True","2026-03-21T18:14:30.2261786Z","2026-03-21T18:15:34.4079246Z"
"VSAT-10000","VSAT","1","10000","10000","0","2","80.738","38329.547","76555.085","10000","10000","0","0","0","0.13","91467284","True","2026-03-21T18:56:02.2041075Z","2026-03-21T18:57:25.9955678Z"
"VSAT-1000","VSAT","1","1000","1000","0","1","11.531","9495.549","9495.549","1000","1000","0","0","0","0.17","133169152","True","2026-03-21T18:20:31.4887156Z","2026-03-21T18:20:45.4848666Z"
"VSAT-100","VSAT","1","100","100","0","1","3.05","997.179","997.179","100","100","0","0","0","0.04","131806003","True","2026-03-21T18:20:24.4657328Z","2026-03-21T18:20:30.5631570Z"
"VSAT-5000","VSAT","1","5000","5000","0","1","42.421","40356.69","40356.69","5000","5000","0","0","0","0.02","83120620","True","2026-03-21T18:52:40.1290914Z","2026-03-21T18:53:24.8204969Z"
