"scenario","repetition","iteration","timestamp_utc","pending_before","pending_after","trigger_latency_ms","response_json"
"LAN-100","1","1","2026-03-22T05:50:58.1607084Z","100","100","59.333","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","2","2026-03-22T05:51:00.2269128Z","100","100","20.11","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","3","2026-03-22T05:51:02.2930404Z","100","100","21.687","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","4","2026-03-22T05:51:04.3715511Z","100","100","19.822","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","5","2026-03-22T05:51:06.4361852Z","100","100","19.512","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","6","2026-03-22T05:51:11.4630385Z","100","100","30.699","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","7","2026-03-22T05:51:13.5477048Z","100","100","21.497","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","8","2026-03-22T05:51:15.6170585Z","100","100","20.929","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","9","2026-03-22T05:51:17.6811928Z","100","100","21.694","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","10","2026-03-22T05:51:19.7531995Z","100","100","22.365","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","11","2026-03-22T05:51:21.8294474Z","100","100","21.629","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","12","2026-03-22T05:51:23.9444609Z","100","100","23.137","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","13","2026-03-22T05:51:26.0601528Z","100","100","43.895","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","14","2026-03-22T05:51:28.1248226Z","100","100","19.482","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","15","2026-03-22T05:51:30.1967408Z","100","100","29.444","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","16","2026-03-22T05:51:32.2661275Z","100","100","19.16","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","17","2026-03-22T05:51:34.3276495Z","100","100","20.103","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","18","2026-03-22T05:51:36.3999774Z","100","100","21.671","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","19","2026-03-22T05:51:38.4808741Z","100","100","20.828","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","20","2026-03-22T05:51:40.5444278Z","100","100","21.963","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","21","2026-03-22T05:51:42.6164819Z","100","102","19.741","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","22","2026-03-22T05:51:44.6806038Z","102","102","20.312","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","23","2026-03-22T05:52:13.6399957Z","102","102","53.628","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","24","2026-03-22T05:52:15.7206643Z","102","102","23.403","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","25","2026-03-22T05:52:17.7878445Z","102","102","21.6","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","26","2026-03-22T05:52:19.8517924Z","102","102","23.485","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","27","2026-03-22T05:52:21.9185364Z","102","102","21.34","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","28","2026-03-22T05:52:24.0095711Z","102","102","21.746","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","29","2026-03-22T05:52:26.1036991Z","102","102","33.582","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","30","2026-03-22T05:52:28.1638450Z","102","102","21.002","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","31","2026-03-22T05:52:30.2421742Z","102","102","20.724","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","32","2026-03-22T05:52:32.3036388Z","102","102","20.793","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","33","2026-03-22T05:52:34.3602161Z","102","102","20.125","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","34","2026-03-22T05:52:36.4232311Z","102","102","21.495","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","35","2026-03-22T05:52:38.4889969Z","102","102","19.999","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","36","2026-03-22T05:52:40.5533791Z","102","102","21.39","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","37","2026-03-22T05:52:42.6271145Z","102","102","21.511","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","38","2026-03-22T05:52:44.6956561Z","102","104","23.016","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","39","2026-03-22T05:53:13.6925401Z","104","104","26943.199","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","1","40","2026-03-22T05:53:15.7700679Z","104","104","22.775","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","1","41","2026-03-22T05:53:17.8455071Z","104","104","24.49","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","1","42","2026-03-22T05:53:19.9112475Z","104","104","23.581","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","1","43","2026-03-22T05:53:21.9731349Z","104","104","20.998","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","1","44","2026-03-22T05:53:24.0727845Z","104","104","21.864","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","1","45","2026-03-22T05:53:26.1644289Z","104","104","31.616","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","1","46","2026-03-22T05:53:28.2378809Z","104","104","20.698","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","1","47","2026-03-22T05:53:30.3172142Z","104","104","29.687","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","1","48","2026-03-22T05:53:32.3819692Z","104","104","21.069","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","1","49","2026-03-22T05:53:34.4550684Z","104","104","21.997","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","1","50","2026-03-22T05:53:36.5266973Z","104","104","20.074","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","1","51","2026-03-22T05:53:38.5904091Z","104","104","19.772","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","1","52","2026-03-22T05:53:40.6583932Z","104","104","21.003","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","1","53","2026-03-22T05:53:42.7254130Z","104","104","20.417","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","1","54","2026-03-22T05:53:44.7818523Z","104","106","20.5","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":104}"
"LAN-100","1","55","2026-03-22T05:54:11.6604792Z","106","106","22.797","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","1","56","2026-03-22T05:54:13.7338179Z","106","106","21.031","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","1","57","2026-03-22T05:54:15.7966029Z","106","106","21.694","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","1","58","2026-03-22T05:54:17.8663277Z","106","106","21.619","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","1","59","2026-03-22T05:54:19.9334970Z","106","106","20.723","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","1","60","2026-03-22T05:54:22.0029319Z","106","106","22.175","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","1","61","2026-03-22T05:54:24.0992166Z","106","106","21.53","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","1","62","2026-03-22T05:54:26.2021716Z","106","106","36.495","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
"LAN-100","1","63","2026-03-22T05:54:28.2718021Z","106","106","21.809","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":106}"
