"scenario","network","repetition","record_count","pending_before","pending_after","global_pending_before","global_pending_after","trigger_iterations","queue_drain_seconds","avg_trigger_latency_ms","max_trigger_latency_ms","queued_records","synced_records","benchmark_pending_records","retried_records","retry_count_total","primary_cpu_percent","primary_memory_bytes","success","started_at_utc","finished_at_utc"
"4G-5000","4G","1","5000","5000","5000","5000","5000","1","4.403","1501.244","1501.244","5000","0","5000","5000","5000","3.52","287100109","False","2026-03-22T06:35:47.7699013Z","2026-03-22T06:35:54.3023217Z"
"4G-5000","4G","2","5000","5000","5000","5000","5000","1","4.698","1936.495","1936.495","5000","0","5000","5000","5000","0.07","287624397","False","2026-03-22T06:35:55.3246114Z","2026-03-22T06:36:02.2276610Z"
"4G-5000","4G","3","5000","5000","5000","5000","5000","1","3.852","1119.315","1119.315","5000","0","5000","5000","5000","1.71","299473306","False","2026-03-22T06:36:15.0006068Z","2026-03-22T06:36:21.8780748Z"
"4G-5000","4G","4","5000","5000","5000","5000","5000","1","3.695","946.288","946.288","5000","0","5000","5000","5000","0.08","299158733","False","2026-03-22T06:36:22.9422140Z","2026-03-22T06:36:28.7553494Z"
"4G-5000","4G","5","5000","5000","5000","5000","5000","1","4.339","1613.362","1613.362","5000","0","5000","5000","5000","0.07","299787878","False","2026-03-22T06:36:29.7510228Z","2026-03-22T06:36:36.1986516Z"
"4G-5000","4G","6","5000","5000","5000","5000","5000","1","4.327","1630.081","1630.081","5000","0","5000","5000","5000","1.19","300836454","False","2026-03-22T06:36:37.2309201Z","2026-03-22T06:36:43.6444302Z"
"4G-5000","4G","7","5000","5000","5000","5000","5000","1","4.456","1752.856","1752.856","5000","0","5000","5000","5000","1.89","301465600","False","2026-03-22T06:36:44.6032536Z","2026-03-22T06:36:51.8703781Z"
"4G-5000","4G","8","5000","5000","5000","5000","5000","1","3.981","1218.906","1218.906","5000","0","5000","5000","5000","2.06","301046170","False","2026-03-22T06:36:52.8996756Z","2026-03-22T06:36:59.8133601Z"
"4G-5000","4G","9","5000","5000","5000","5000","5000","1","3.775","947.688","947.688","5000","0","5000","5000","5000","0.08","301780173","False","2026-03-22T06:37:01.0188415Z","2026-03-22T06:37:06.9302573Z"
"4G-5000","4G","10","5000","5000","5000","5000","5000","1","7.185","1470.852","1470.852","5000","0","5000","5000","5000","0.53","302199603","False","2026-03-22T06:37:07.9070971Z","2026-03-22T06:37:17.1821232Z"
