"scenario","network","repetition","record_count","pending_before","pending_after","global_pending_before","global_pending_after","trigger_iterations","queue_drain_seconds","avg_trigger_latency_ms","max_trigger_latency_ms","queued_records","synced_records","benchmark_pending_records","retried_records","retry_count_total","primary_cpu_percent","primary_memory_bytes","success","started_at_utc","finished_at_utc"
"LAN-5000","LAN","1","5000","5000","5000","5000","5000","1","22.323","19639.574","19639.574","5000","0","5000","5000","5000","5.42","121110528","False","2026-03-22T06:29:56.5670899Z","2026-03-22T06:30:21.6003342Z"
"LAN-5000","LAN","2","5000","5000","5000","5000","5000","1","4.119","1435.382","1435.382","5000","0","5000","5000","5000","2.05","127821414","False","2026-03-22T06:30:22.5438002Z","2026-03-22T06:30:29.4930141Z"
"LAN-5000","LAN","3","5000","5000","5000","5000","5002","1","3.928","1174.1","1174.1","5000","0","5000","5000","5000","0.04","137468314","False","2026-03-22T06:30:30.4923826Z","2026-03-22T06:30:36.5134346Z"
"LAN-5000","LAN","4","5000","5000","5000","5000","5000","1","4.353","1576.176","1576.176","5000","0","5000","5000","5000","0.04","147429786","False","2026-03-22T06:30:37.5280091Z","2026-03-22T06:30:43.9481287Z"
"LAN-5000","LAN","5","5000","5000","5000","5000","5000","1","4.686","1973.088","1973.088","5000","0","5000","5000","5000","3.54","159068979","False","2026-03-22T06:30:44.9072807Z","2026-03-22T06:30:51.6848252Z"
"LAN-5000","LAN","6","5000","5000","5000","5000","5000","1","4.227","1539.942","1539.942","5000","0","5000","5000","5000","1.59","167772160","False","2026-03-22T06:30:52.6546770Z","2026-03-22T06:30:59.4742734Z"
"LAN-5000","LAN","7","5000","5000","5000","5000","5000","1","4.356","1669.586","1669.586","5000","0","5000","5000","5000","0.03","176999629","False","2026-03-22T06:31:00.5197707Z","2026-03-22T06:31:06.9788723Z"
"LAN-5000","LAN","8","5000","5000","5000","5000","5000","1","6.654","1378.612","1378.612","5000","0","5000","5000","5000","0.23","177314202","False","2026-03-22T06:31:08.1439279Z","2026-03-22T06:31:16.8829803Z"
"LAN-5000","LAN","9","5000","5000","5000","5000","5000","1","4.222","1506.363","1506.363","5000","0","5000","5000","5000","0.02","178048205","False","2026-03-22T06:31:17.9442148Z","2026-03-22T06:31:24.2967999Z"
"LAN-5000","LAN","10","5000","5000","5000","5000","5000","1","4.704","1795.763","1795.763","5000","0","5000","5000","5000","3.34","179935642","False","2026-03-22T06:31:25.3493692Z","2026-03-22T06:31:32.1519040Z"
