"scenario","network","repetition","record_count","pending_before","pending_after","global_pending_before","global_pending_after","trigger_iterations","queue_drain_seconds","avg_trigger_latency_ms","max_trigger_latency_ms","queued_records","synced_records","benchmark_pending_records","retried_records","retry_count_total","primary_cpu_percent","primary_memory_bytes","success","failure_reason","failure_note","started_at_utc","finished_at_utc"
"4G-5000","4G","1","5000","5000","0","5000","0","1","34.276","31173.819","31173.819","5000","5000","0","0","0","0.1","279969792","True",,,"2026-03-22T07:36:04.7257843Z","2026-03-22T07:36:41.7149802Z"
"4G-5000","4G","2","5000","5000","0","5000","0","1","34.791","31731.296","31731.296","5000","5000","0","0","0","0.12","282066944","True",,,"2026-03-22T07:36:42.6198720Z","2026-03-22T07:37:19.4550241Z"
"4G-5000","4G","3","5000","5000","0","5000","0","1","34.06","31047.896","31047.896","5000","5000","0","0","0","0.29","288882688","True",,,"2026-03-22T07:37:20.3970996Z","2026-03-22T07:37:56.5246049Z"
"4G-5000","4G","4","5000","5000","0","5000","0","1","34.53","31500.119","31500.119","5000","5000","0","0","0","0.15","291923558","True",,,"2026-03-22T07:37:57.5647816Z","2026-03-22T07:38:34.8770384Z"
"4G-5000","4G","5","5000","5000","0","5000","0","1","34.333","31322.671","31322.671","5000","5000","0","0","0","0.13","298739302","True",,,"2026-03-22T07:38:35.7914496Z","2026-03-22T07:39:12.8353760Z"
"4G-5000","4G","6","5000","5000","0","5000","2","1","34.126","31130.519","31130.519","5000","5000","0","0","0","0.23","305974477","True",,,"2026-03-22T07:39:13.7909520Z","2026-03-22T07:39:49.9715085Z"
"4G-5000","4G","7","5000","5000","0","5000","0","1","34.945","31820.919","31820.919","5000","5000","0","0","0","0.15","312475648","True",,,"2026-03-22T07:39:50.8874680Z","2026-03-22T07:40:27.8961052Z"
"4G-5000","4G","8","5000","5000","0","5000","0","1","34.104","30989.289","30989.289","5000","5000","0","0","0","0.04","318662246","True",,,"2026-03-22T07:40:28.8050326Z","2026-03-22T07:41:05.0284262Z"
"4G-5000","4G","9","5000","5000","0","5000","0","1","34.762","31739.585","31739.585","5000","5000","0","0","0","0.04","339738624","True",,,"2026-03-22T07:41:06.0014233Z","2026-03-22T07:41:43.0197294Z"
"4G-5000","4G","10","5000","5000","0","5000","0","1","34.055","30991.058","30991.058","5000","5000","0","0","0","6.12","343618355","True",,,"2026-03-22T07:41:43.9376001Z","2026-03-22T07:42:20.0520994Z"
