"scenario","network","repetition","record_count","pending_before","pending_after","global_pending_before","global_pending_after","trigger_iterations","queue_drain_seconds","avg_trigger_latency_ms","max_trigger_latency_ms","queued_records","synced_records","benchmark_pending_records","retried_records","retry_count_total","primary_cpu_percent","primary_memory_bytes","success","failure_reason","failure_note","started_at_utc","finished_at_utc"
"LAN-1000","LAN","1","1000","1000","0","1000","2","1","9.233","6313.199","6313.199","1000","1000","0","0","0","3.31","178677350","True",,,"2026-03-22T07:13:02.5483994Z","2026-03-22T07:13:13.8063800Z"
"LAN-1000","LAN","2","1000","1000","0","1000","0","1","9.267","6262.068","6262.068","1000","1000","0","0","0","0.15","179201638","True",,,"2026-03-22T07:13:14.6290350Z","2026-03-22T07:13:25.9085936Z"
"LAN-1000","LAN","3","1000","1000","0","1000","0","1","9.708","6715.227","6715.227","1000","1000","0","0","0","0.17","178887066","True",,,"2026-03-22T07:13:26.7515622Z","2026-03-22T07:13:38.4754757Z"
"LAN-1000","LAN","4","1000","1000","0","1000","0","1","8.991","5958.338","5958.338","1000","1000","0","0","0","0.16","178887066","True",,,"2026-03-22T07:13:39.2715046Z","2026-03-22T07:13:50.6092745Z"
"LAN-1000","LAN","5","1000","1000","0","1000","0","1","9.108","6066.519","6066.519","1000","1000","0","0","0","0.15","179201638","True",,,"2026-03-22T07:13:51.4171149Z","2026-03-22T07:14:02.6312239Z"
"LAN-1000","LAN","6","1000","1000","0","1000","2","1","9.364","6382.926","6382.926","1000","1000","0","0","0","3.25","179096781","True",,,"2026-03-22T07:14:03.4205612Z","2026-03-22T07:14:14.8187032Z"
"LAN-1000","LAN","7","1000","1000","0","1000","0","1","9.274","6321.177","6321.177","1000","1000","0","0","0","0.16","179725926","True",,,"2026-03-22T07:14:15.6326540Z","2026-03-22T07:14:26.9276190Z"
"LAN-1000","LAN","8","1000","1000","0","1000","0","1","9.331","6205.073","6205.073","1000","1000","0","0","0","0.16","179411354","True",,,"2026-03-22T07:14:27.7735887Z","2026-03-22T07:14:39.1427948Z"
"LAN-1000","LAN","9","1000","1000","0","1000","0","1","8.802","5838.759","5838.759","1000","1000","0","0","0","0.21","179516211","True",,,"2026-03-22T07:14:39.9984850Z","2026-03-22T07:14:51.6360417Z"
"LAN-1000","LAN","10","1000","1000","0","1000","0","1","9.167","6174.981","6174.981","1000","1000","0","0","0","0.18","180145357","True",,,"2026-03-22T07:14:52.4404212Z","2026-03-22T07:15:03.7687023Z"
