"scenario","network","repetition","record_count","pending_before","pending_after","global_pending_before","global_pending_after","trigger_iterations","queue_drain_seconds","avg_trigger_latency_ms","max_trigger_latency_ms","queued_records","synced_records","benchmark_pending_records","retried_records","retry_count_total","primary_cpu_percent","primary_memory_bytes","success","failure_reason","failure_note","started_at_utc","finished_at_utc"
"VSAT-100","VSAT","1","100","100","0","100","0","1","3.774","633.021","633.021","100","100","0","0","0","0.14","416913818","True",,,"2026-03-22T07:53:54.6709885Z","2026-03-22T07:54:00.5785015Z"
"VSAT-100","VSAT","2","100","100","0","100","0","1","3.929","764.808","764.808","100","100","0","0","0","3.74","418276966","True",,,"2026-03-22T07:54:01.4941058Z","2026-03-22T07:54:07.4926896Z"
"VSAT-100","VSAT","3","100","100","0","100","0","1","3.778","623.202","623.202","100","100","0","0","0","0.09","419640115","True",,,"2026-03-22T07:54:08.3577394Z","2026-03-22T07:54:14.5344399Z"
"VSAT-100","VSAT","4","100","100","0","100","0","1","3.738","605.486","605.486","100","100","0","0","0","0.26","420164403","True",,,"2026-03-22T07:54:15.3599607Z","2026-03-22T07:54:21.1539711Z"
"VSAT-100","VSAT","5","100","100","0","100","0","1","3.793","687.802","687.802","100","100","0","0","0","0.16","421212979","True",,,"2026-03-22T07:54:22.0216109Z","2026-03-22T07:54:27.8936782Z"
"VSAT-100","VSAT","6","100","100","0","100","0","1","3.873","676.35","676.35","100","100","0","0","0","0.14","421108122","True",,,"2026-03-22T07:54:28.7646230Z","2026-03-22T07:54:35.6077229Z"
"VSAT-100","VSAT","7","100","100","0","100","0","1","3.863","661.643","661.643","100","100","0","0","0","0.23","421527552","True",,,"2026-03-22T07:54:36.4507266Z","2026-03-22T07:54:42.5697308Z"
"VSAT-100","VSAT","8","100","100","0","100","0","1","3.774","653.981","653.981","100","100","0","0","0","0.22","422576128","True",,,"2026-03-22T07:54:43.3743540Z","2026-03-22T07:54:49.2510944Z"
"VSAT-100","VSAT","9","100","100","0","100","0","1","3.823","668.012","668.012","100","100","0","0","0","0.23","423624704","True",,,"2026-03-22T07:54:50.4066818Z","2026-03-22T07:54:56.3267496Z"
"VSAT-100","VSAT","10","100","100","0","100","0","1","3.735","608.627","608.627","100","100","0","0","0","0.22","424044134","True",,,"2026-03-22T07:54:57.2038232Z","2026-03-22T07:55:03.5902959Z"
"VSAT-100","VSAT","11","100","100","0","100","2","1","3.818","665.219","665.219","100","100","0","0","0","0.68","425721856","True",,,"2026-03-22T07:55:04.4199696Z","2026-03-22T07:55:10.3614531Z"
"VSAT-100","VSAT","12","100","100","0","100","0","1","3.789","710.922","710.922","100","100","0","0","0","0.16","426980147","True",,,"2026-03-22T07:55:11.1771502Z","2026-03-22T07:55:17.0851547Z"
"VSAT-100","VSAT","13","100","100","0","100","0","1","3.715","609.23","609.23","100","100","0","0","0","0.15","426875290","True",,,"2026-03-22T07:55:17.9534563Z","2026-03-22T07:55:24.5898391Z"
"VSAT-100","VSAT","14","100","100","0","100","0","1","3.775","633.394","633.394","100","100","0","0","0","0.15","427294720","True",,,"2026-03-22T07:55:25.4489789Z","2026-03-22T07:55:31.3294522Z"
"VSAT-100","VSAT","15","100","100","0","100","0","1","3.678","597.467","597.467","100","100","0","0","0","3.13","428238438","True",,,"2026-03-22T07:55:32.1980888Z","2026-03-22T07:55:37.9698118Z"
