"scenario","network","repetition","record_count","pending_before","pending_after","global_pending_before","global_pending_after","trigger_iterations","queue_drain_seconds","avg_trigger_latency_ms","max_trigger_latency_ms","queued_records","synced_records","benchmark_pending_records","retried_records","retry_count_total","primary_cpu_percent","primary_memory_bytes","success","failure_reason","failure_note","started_at_utc","finished_at_utc"
"LAN-100","LAN","1","100","100","0","100","0","1","3.744","697.595","697.595","100","100","0","0","0","0.02","176580198","True","","","2026-03-22T07:11:54.7494463Z","2026-03-22T07:12:01.5400410Z"
"LAN-100","LAN","2","100","100","0","100","0","1","3.34","322.823","322.823","100","100","0","0","0","0.03","177419059","True","","","2026-03-22T07:12:02.3936637Z","2026-03-22T07:12:07.8007265Z"
"LAN-100","LAN","3","100","100","0","100","2","1","3.693","703.377","703.377","100","100","0","0","0","0.03","178153062","True","","","2026-03-22T07:12:08.6917913Z","2026-03-22T07:12:14.4028495Z"
"LAN-100","LAN","4","100","100","0","100","0","1","3.553","606.773","606.773","100","100","0","0","0","0.02","177838490","True","","","2026-03-22T07:12:15.2285888Z","2026-03-22T07:12:21.4832067Z"
"LAN-100","LAN","5","100","100","0","100","0","1","3.637","661.304","661.304","100","100","0","0","0","0.02","178153062","True","","","2026-03-22T07:12:22.3541268Z","2026-03-22T07:12:28.0120084Z"
"LAN-100","LAN","6","100","100","0","100","0","1","3.626","668.916","668.916","100","100","0","0","0","0.26","178782208","True","","","2026-03-22T07:12:28.7746662Z","2026-03-22T07:12:34.4499194Z"
"LAN-100","LAN","7","100","100","0","100","0","1","3.587","647.816","647.816","100","100","0","0","0","0.02","177943347","True","","","2026-03-22T07:12:35.2442959Z","2026-03-22T07:12:41.5131808Z"
"LAN-100","LAN","8","100","100","0","100","0","1","3.57","622.359","622.359","100","100","0","0","0","0.02","178153062","True","","","2026-03-22T07:12:42.3336595Z","2026-03-22T07:12:47.9582870Z"
"LAN-100","LAN","9","100","100","0","100","0","1","3.715","718.812","718.812","100","100","0","0","0","0.02","177943347","True","","","2026-03-22T07:12:48.7928780Z","2026-03-22T07:12:54.5607728Z"
"LAN-100","LAN","10","100","100","0","100","0","1","3.566","636.855","636.855","100","100","0","0","0","0.03","177943347","True","","","2026-03-22T07:12:55.3660622Z","2026-03-22T07:13:01.5513096Z"
"LAN-1000","LAN","1","1000","1000","0","1000","2","1","9.233","6313.199","6313.199","1000","1000","0","0","0","3.31","178677350","True","","","2026-03-22T07:13:02.5483994Z","2026-03-22T07:13:13.8063800Z"
"LAN-1000","LAN","2","1000","1000","0","1000","0","1","9.267","6262.068","6262.068","1000","1000","0","0","0","0.15","179201638","True","","","2026-03-22T07:13:14.6290350Z","2026-03-22T07:13:25.9085936Z"
"LAN-1000","LAN","3","1000","1000","0","1000","0","1","9.708","6715.227","6715.227","1000","1000","0","0","0","0.17","178887066","True","","","2026-03-22T07:13:26.7515622Z","2026-03-22T07:13:38.4754757Z"
"LAN-1000","LAN","4","1000","1000","0","1000","0","1","8.991","5958.338","5958.338","1000","1000","0","0","0","0.16","178887066","True","","","2026-03-22T07:13:39.2715046Z","2026-03-22T07:13:50.6092745Z"
"LAN-1000","LAN","5","1000","1000","0","1000","0","1","9.108","6066.519","6066.519","1000","1000","0","0","0","0.15","179201638","True","","","2026-03-22T07:13:51.4171149Z","2026-03-22T07:14:02.6312239Z"
"LAN-1000","LAN","6","1000","1000","0","1000","2","1","9.364","6382.926","6382.926","1000","1000","0","0","0","3.25","179096781","True","","","2026-03-22T07:14:03.4205612Z","2026-03-22T07:14:14.8187032Z"
"LAN-1000","LAN","7","1000","1000","0","1000","0","1","9.274","6321.177","6321.177","1000","1000","0","0","0","0.16","179725926","True","","","2026-03-22T07:14:15.6326540Z","2026-03-22T07:14:26.9276190Z"
"LAN-1000","LAN","8","1000","1000","0","1000","0","1","9.331","6205.073","6205.073","1000","1000","0","0","0","0.16","179411354","True","","","2026-03-22T07:14:27.7735887Z","2026-03-22T07:14:39.1427948Z"
"LAN-1000","LAN","9","1000","1000","0","1000","0","1","8.802","5838.759","5838.759","1000","1000","0","0","0","0.21","179516211","True","","","2026-03-22T07:14:39.9984850Z","2026-03-22T07:14:51.6360417Z"
"LAN-1000","LAN","10","1000","1000","0","1000","0","1","9.167","6174.981","6174.981","1000","1000","0","0","0","0.18","180145357","True","","","2026-03-22T07:14:52.4404212Z","2026-03-22T07:15:03.7687023Z"
"LAN-5000","LAN","1","5000","5000","0","5000","0","1","32.811","29812.676","29812.676","5000","5000","0","0","0","0.17","188114534","True","","","2026-03-22T07:15:04.8217932Z","2026-03-22T07:15:40.7086360Z"
"LAN-5000","LAN","2","5000","5000","0","5000","2","1","36.692","33531.544","33531.544","5000","5000","0","0","0","0.16","188848538","True","","","2026-03-22T07:15:41.7219069Z","2026-03-22T07:16:20.7756117Z"
"LAN-5000","LAN","3","5000","5000","0","5000","0","1","37.715","34679.839","34679.839","5000","5000","0","0","0","0.14","189372826","True","","","2026-03-22T07:16:21.7400154Z","2026-03-22T07:17:01.8089758Z"
"LAN-5000","LAN","4","5000","5000","0","5000","0","1","34.508","31497.241","31497.241","5000","5000","0","0","0","0.06","189792256","True","","","2026-03-22T07:17:02.7455834Z","2026-03-22T07:17:39.3009318Z"
"LAN-5000","LAN","5","5000","5000","0","5000","0","1","34.01","30950.829","30950.829","5000","5000","0","0","0","3.5","190735974","True","","","2026-03-22T07:17:40.2597121Z","2026-03-22T07:18:16.3310825Z"
"LAN-5000","LAN","6","5000","5000","0","5000","0","1","33.384","30266.645","30266.645","5000","5000","0","0","0","0.13","190840832","True","","","2026-03-22T07:18:17.2375951Z","2026-03-22T07:18:52.8367762Z"
"LAN-5000","LAN","7","5000","5000","0","5000","0","1","34.458","31338.67","31338.67","5000","5000","0","0","0","0.16","190945690","True","","","2026-03-22T07:18:53.7669078Z","2026-03-22T07:19:30.8393433Z"
"LAN-5000","LAN","8","5000","5000","0","5000","0","1","34.312","31177.664","31177.664","5000","5000","0","0","0","3.17","191994266","True","","","2026-03-22T07:19:31.7728888Z","2026-03-22T07:20:08.1725101Z"
"LAN-5000","LAN","9","5000","5000","0","5000","0","1","34.024","30965.066","30965.066","5000","5000","0","0","0","0.14","191679693","True","","","2026-03-22T07:20:09.1525046Z","2026-03-22T07:20:45.2413688Z"
"LAN-5000","LAN","10","5000","5000","0","5000","0","1","33.884","30791.915","30791.915","5000","5000","0","0","0","0.77","192518554","True","","","2026-03-22T07:20:46.1839524Z","2026-03-22T07:21:22.9376286Z"
"LAN-10000","LAN","1","10000","10000","0","10000","0","1","64.529","61365.363","61365.363","10000","10000","0","0","0","0.4","192728269","True","","","2026-03-22T07:21:24.5350014Z","2026-03-22T07:22:31.9892641Z"
"LAN-10000","LAN","2","10000","10000","0","10000","0","1","65.148","61889.088","61889.088","10000","10000","0","0","0","0.14","246415360","True","","","2026-03-22T07:22:33.2114737Z","2026-03-22T07:23:41.0377716Z"
"LAN-10000","LAN","3","10000","10000","0","10000","0","1","65.76","62617.571","62617.571","10000","10000","0","0","0","0.17","247988224","True","","","2026-03-22T07:23:42.2113351Z","2026-03-22T07:24:51.1051845Z"
"LAN-10000","LAN","4","10000","10000","0","10000","0","1","65.088","62075.264","62075.264","10000","10000","0","0","0","0.17","248931942","True","","","2026-03-22T07:24:52.2720823Z","2026-03-22T07:25:59.3746096Z"
"LAN-10000","LAN","5","10000","10000","0","10000","0","1","65.267","62314.8","62314.8","10000","10000","0","0","0","0.15","250295091","True","","","2026-03-22T07:26:00.6500970Z","2026-03-22T07:27:07.9421389Z"
"LAN-10000","LAN","6","10000","10000","0","10000","0","1","65.55","62604.522","62604.522","10000","10000","0","0","0","0.16","251133952","True","","","2026-03-22T07:27:09.2567075Z","2026-03-22T07:28:16.8538577Z"
"LAN-10000","LAN","7","10000","10000","0","10000","0","1","65.783","62810.089","62810.089","10000","10000","0","0","0","0.12","251867955","True","","","2026-03-22T07:28:17.9573625Z","2026-03-22T07:29:25.7510081Z"
"LAN-10000","LAN","8","10000","10000","0","10000","0","1","65.616","62622.617","62622.617","10000","10000","0","0","0","0.46","253440819","True","","","2026-03-22T07:29:26.9035451Z","2026-03-22T07:30:34.5854671Z"
"LAN-10000","LAN","9","10000","10000","0","10000","0","1","65.482","62476.295","62476.295","10000","10000","0","0","0","0.25","259207987","True","","","2026-03-22T07:30:35.7504027Z","2026-03-22T07:31:43.4918366Z"
"LAN-10000","LAN","10","10000","10000","0","10000","0","1","66.612","63614.394","63614.394","10000","10000","0","0","0","0.04","261514854","True","","","2026-03-22T07:31:44.6625697Z","2026-03-22T07:32:53.5460085Z"
"4G-100","4G","1","100","100","0","100","0","1","3.68","647.538","647.538","100","100","0","0","0","0.04","261200282","True","","","2026-03-22T07:32:54.5230345Z","2026-03-22T07:33:00.2791229Z"
"4G-100","4G","2","100","100","0","100","0","1","3.612","636.696","636.696","100","100","0","0","0","0.11","262144000","True","","","2026-03-22T07:33:01.1757800Z","2026-03-22T07:33:06.8683047Z"
"4G-100","4G","3","100","100","0","100","0","1","3.736","761.704","761.704","100","100","0","0","0","0.16","264975155","True","","","2026-03-22T07:33:07.6953067Z","2026-03-22T07:33:13.5490780Z"
"4G-100","4G","4","100","100","0","100","0","1","3.578","581.715","581.715","100","100","0","0","0","0.12","265080013","True","","","2026-03-22T07:33:14.3792604Z","2026-03-22T07:33:20.0351036Z"
"4G-100","4G","5","100","100","0","100","0","1","3.67","595.118","595.118","100","100","0","0","0","0.13","266023731","True","","","2026-03-22T07:33:20.8798224Z","2026-03-22T07:33:26.5952957Z"
"4G-100","4G","6","100","100","0","100","0","1","3.677","603.988","603.988","100","100","0","0","0","0.12","266548019","True","","","2026-03-22T07:33:27.3946625Z","2026-03-22T07:33:33.5603560Z"
"4G-100","4G","7","100","100","0","100","0","1","3.737","654.364","654.364","100","100","0","0","0","0.65","266233446","True","","","2026-03-22T07:33:34.4027558Z","2026-03-22T07:33:40.1885005Z"
"4G-100","4G","8","100","100","0","100","0","1","3.624","608.918","608.918","100","100","0","0","0","0.16","268645171","True","","","2026-03-22T07:33:41.0310473Z","2026-03-22T07:33:46.6922776Z"
"4G-100","4G","9","100","100","0","100","0","1","3.652","594.633","594.633","100","100","0","0","0","0.17","269274317","True","","","2026-03-22T07:33:47.4592688Z","2026-03-22T07:33:53.5444312Z"
"4G-100","4G","10","100","100","0","100","0","1","3.631","641.322","641.322","100","100","0","0","0","0.15","269169459","True","","","2026-03-22T07:33:54.3343570Z","2026-03-22T07:34:00.0225293Z"
"4G-1000","4G","1","1000","1000","0","1000","0","1","9.102","6143.217","6143.217","1000","1000","0","0","0","0.16","270113178","True","","","2026-03-22T07:34:01.1000273Z","2026-03-22T07:34:12.5422037Z"
"4G-1000","4G","2","1000","1000","0","1000","0","1","9.237","6206.065","6206.065","1000","1000","0","0","0","0.14","270637466","True","","","2026-03-22T07:34:13.3898435Z","2026-03-22T07:34:24.7006906Z"
"4G-1000","4G","3","1000","1000","0","1000","0","1","9.372","6386.51","6386.51","1000","1000","0","0","0","0.16","270952038","True","","","2026-03-22T07:34:25.5260018Z","2026-03-22T07:34:36.9307217Z"
"4G-1000","4G","4","1000","1000","0","1000","0","1","9.908","6868.791","6868.791","1000","1000","0","0","0","0.2","273678336","True","","","2026-03-22T07:34:37.7616392Z","2026-03-22T07:34:49.7382228Z"
"4G-1000","4G","5","1000","1000","0","1000","0","1","9.121","6133.624","6133.624","1000","1000","0","0","0","0.15","273888051","True","","","2026-03-22T07:34:51.2036094Z","2026-03-22T07:35:02.5871504Z"
"4G-1000","4G","6","1000","1000","0","1000","0","1","9.186","6178.051","6178.051","1000","1000","0","0","0","0.1","275146342","True","","","2026-03-22T07:35:03.4351035Z","2026-03-22T07:35:14.6750569Z"
"4G-1000","4G","7","1000","1000","0","1000","0","1","9.225","6209.982","6209.982","1000","1000","0","0","0","3.36","276299776","True","","","2026-03-22T07:35:15.4836559Z","2026-03-22T07:35:26.7466922Z"
"4G-1000","4G","8","1000","1000","0","1000","0","1","9.493","6425.722","6425.722","1000","1000","0","0","0","0.09","276404634","True","","","2026-03-22T07:35:27.5855587Z","2026-03-22T07:35:39.1107559Z"
"4G-1000","4G","9","1000","1000","0","1000","0","1","9.324","6126.046","6126.046","1000","1000","0","0","0","0.09","277453210","True","","","2026-03-22T07:35:39.9062536Z","2026-03-22T07:35:51.7086977Z"
"4G-1000","4G","10","1000","1000","0","1000","0","1","8.881","5663.89","5663.89","1000","1000","0","0","0","0.13","278921216","True","","","2026-03-22T07:35:52.5862002Z","2026-03-22T07:36:03.6635201Z"
"4G-5000","4G","1","5000","5000","0","5000","0","1","34.276","31173.819","31173.819","5000","5000","0","0","0","0.1","279969792","True","","","2026-03-22T07:36:04.7257843Z","2026-03-22T07:36:41.7149802Z"
"4G-5000","4G","2","5000","5000","0","5000","0","1","34.791","31731.296","31731.296","5000","5000","0","0","0","0.12","282066944","True","","","2026-03-22T07:36:42.6198720Z","2026-03-22T07:37:19.4550241Z"
"4G-5000","4G","3","5000","5000","0","5000","0","1","34.06","31047.896","31047.896","5000","5000","0","0","0","0.29","288882688","True","","","2026-03-22T07:37:20.3970996Z","2026-03-22T07:37:56.5246049Z"
"4G-5000","4G","4","5000","5000","0","5000","0","1","34.53","31500.119","31500.119","5000","5000","0","0","0","0.15","291923558","True","","","2026-03-22T07:37:57.5647816Z","2026-03-22T07:38:34.8770384Z"
"4G-5000","4G","5","5000","5000","0","5000","0","1","34.333","31322.671","31322.671","5000","5000","0","0","0","0.13","298739302","True","","","2026-03-22T07:38:35.7914496Z","2026-03-22T07:39:12.8353760Z"
"4G-5000","4G","6","5000","5000","0","5000","2","1","34.126","31130.519","31130.519","5000","5000","0","0","0","0.23","305974477","True","","","2026-03-22T07:39:13.7909520Z","2026-03-22T07:39:49.9715085Z"
"4G-5000","4G","7","5000","5000","0","5000","0","1","34.945","31820.919","31820.919","5000","5000","0","0","0","0.15","312475648","True","","","2026-03-22T07:39:50.8874680Z","2026-03-22T07:40:27.8961052Z"
"4G-5000","4G","8","5000","5000","0","5000","0","1","34.104","30989.289","30989.289","5000","5000","0","0","0","0.04","318662246","True","","","2026-03-22T07:40:28.8050326Z","2026-03-22T07:41:05.0284262Z"
"4G-5000","4G","9","5000","5000","0","5000","0","1","34.762","31739.585","31739.585","5000","5000","0","0","0","0.04","339738624","True","","","2026-03-22T07:41:06.0014233Z","2026-03-22T07:41:43.0197294Z"
"4G-5000","4G","10","5000","5000","0","5000","0","1","34.055","30991.058","30991.058","5000","5000","0","0","0","6.12","343618355","True","","","2026-03-22T07:41:43.9376001Z","2026-03-22T07:42:20.0520994Z"
"4G-10000","4G","1","10000","10000","0","10000","0","1","65.661","62606.303","62606.303","10000","10000","0","0","0","0.11","348546662","True","","","2026-03-22T07:42:21.4698531Z","2026-03-22T07:43:29.2360283Z"
"4G-10000","4G","2","10000","10000","0","10000","0","1","65.716","62657.342","62657.342","10000","10000","0","0","0","0.15","352740966","True","","","2026-03-22T07:43:30.4720568Z","2026-03-22T07:44:38.2441729Z"
"4G-10000","4G","3","10000","10000","0","10000","0","1","65.958","62840.552","62840.552","10000","10000","0","0","0","0.08","366477312","True","","","2026-03-22T07:44:39.4554317Z","2026-03-22T07:45:47.4602989Z"
"4G-10000","4G","4","10000","10000","0","10000","0","1","66.553","63467.409","63467.409","10000","10000","0","0","0","0.69","378640794","True","","","2026-03-22T07:45:48.6257843Z","2026-03-22T07:46:57.2271154Z"
"4G-10000","4G","5","10000","10000","0","10000","0","1","65.888","62754.38","62754.38","10000","10000","0","0","0","0.18","385037107","True","","","2026-03-22T07:46:58.3414992Z","2026-03-22T07:48:06.3077512Z"
"4G-10000","4G","6","10000","10000","0","10000","0","1","65.887","62786.214","62786.214","10000","10000","0","0","0","0.1","395837440","True","","","2026-03-22T07:48:07.5233079Z","2026-03-22T07:49:15.4853451Z"
"4G-10000","4G","7","10000","10000","0","10000","0","1","65.4","62237.264","62237.264","10000","10000","0","0","0","0.11","398354022","True","","","2026-03-22T07:49:16.6968802Z","2026-03-22T07:50:24.3998767Z"
"4G-10000","4G","8","10000","10000","0","10000","0","1","64.921","61749.621","61749.621","10000","10000","0","0","0","0.02","398249165","True","","","2026-03-22T07:50:25.6265696Z","2026-03-22T07:51:33.4205289Z"
"4G-10000","4G","9","10000","10000","0","10000","0","1","66.642","63528.942","63528.942","10000","10000","0","0","0","0.03","407371776","True","","","2026-03-22T07:51:34.5920659Z","2026-03-22T07:52:43.4786905Z"
"4G-10000","4G","10","10000","10000","0","10000","0","1","66.119","62983.534","62983.534","10000","10000","0","0","0","0.15","415970099","True","","","2026-03-22T07:52:44.6645807Z","2026-03-22T07:53:53.5108055Z"
"VSAT-100","VSAT","1","100","100","0","100","0","1","3.774","633.021","633.021","100","100","0","0","0","0.14","416913818","True","","","2026-03-22T07:53:54.6709885Z","2026-03-22T07:54:00.5785015Z"
"VSAT-100","VSAT","2","100","100","0","100","0","1","3.929","764.808","764.808","100","100","0","0","0","3.74","418276966","True","","","2026-03-22T07:54:01.4941058Z","2026-03-22T07:54:07.4926896Z"
"VSAT-100","VSAT","3","100","100","0","100","0","1","3.778","623.202","623.202","100","100","0","0","0","0.09","419640115","True","","","2026-03-22T07:54:08.3577394Z","2026-03-22T07:54:14.5344399Z"
"VSAT-100","VSAT","4","100","100","0","100","0","1","3.738","605.486","605.486","100","100","0","0","0","0.26","420164403","True","","","2026-03-22T07:54:15.3599607Z","2026-03-22T07:54:21.1539711Z"
"VSAT-100","VSAT","5","100","100","0","100","0","1","3.793","687.802","687.802","100","100","0","0","0","0.16","421212979","True","","","2026-03-22T07:54:22.0216109Z","2026-03-22T07:54:27.8936782Z"
"VSAT-100","VSAT","6","100","100","0","100","0","1","3.873","676.35","676.35","100","100","0","0","0","0.14","421108122","True","","","2026-03-22T07:54:28.7646230Z","2026-03-22T07:54:35.6077229Z"
"VSAT-100","VSAT","7","100","100","0","100","0","1","3.863","661.643","661.643","100","100","0","0","0","0.23","421527552","True","","","2026-03-22T07:54:36.4507266Z","2026-03-22T07:54:42.5697308Z"
"VSAT-100","VSAT","8","100","100","0","100","0","1","3.774","653.981","653.981","100","100","0","0","0","0.22","422576128","True","","","2026-03-22T07:54:43.3743540Z","2026-03-22T07:54:49.2510944Z"
"VSAT-100","VSAT","9","100","100","0","100","0","1","3.823","668.012","668.012","100","100","0","0","0","0.23","423624704","True","","","2026-03-22T07:54:50.4066818Z","2026-03-22T07:54:56.3267496Z"
"VSAT-100","VSAT","10","100","100","0","100","0","1","3.735","608.627","608.627","100","100","0","0","0","0.22","424044134","True","","","2026-03-22T07:54:57.2038232Z","2026-03-22T07:55:03.5902959Z"
"VSAT-100","VSAT","11","100","100","0","100","2","1","3.818","665.219","665.219","100","100","0","0","0","0.68","425721856","True","","","2026-03-22T07:55:04.4199696Z","2026-03-22T07:55:10.3614531Z"
"VSAT-100","VSAT","12","100","100","0","100","0","1","3.789","710.922","710.922","100","100","0","0","0","0.16","426980147","True","","","2026-03-22T07:55:11.1771502Z","2026-03-22T07:55:17.0851547Z"
"VSAT-100","VSAT","13","100","100","0","100","0","1","3.715","609.23","609.23","100","100","0","0","0","0.15","426875290","True","","","2026-03-22T07:55:17.9534563Z","2026-03-22T07:55:24.5898391Z"
"VSAT-100","VSAT","14","100","100","0","100","0","1","3.775","633.394","633.394","100","100","0","0","0","0.15","427294720","True","","","2026-03-22T07:55:25.4489789Z","2026-03-22T07:55:31.3294522Z"
"VSAT-100","VSAT","15","100","100","0","100","0","1","3.678","597.467","597.467","100","100","0","0","0","3.13","428238438","True","","","2026-03-22T07:55:32.1980888Z","2026-03-22T07:55:37.9698118Z"
"VSAT-1000","VSAT","1","1000","1000","0","1000","0","1","9.552","6393.511","6393.511","1000","1000","0","0","0","0.17","427923866","True","","","2026-03-22T07:55:39.0367645Z","2026-03-22T07:55:50.7035363Z"
"VSAT-1000","VSAT","2","1000","1000","0","1000","0","1","9.653","6447.167","6447.167","1000","1000","0","0","0","0.14","429496730","True","","","2026-03-22T07:55:51.5746133Z","2026-03-22T07:56:03.6034882Z"
"VSAT-1000","VSAT","3","1000","1000","0","1000","0","1","9.539","6436.679","6436.679","1000","1000","0","0","0","0.16","430964736","True","","","2026-03-22T07:56:04.4701325Z","2026-03-22T07:56:16.0844153Z"
"VSAT-1000","VSAT","4","1000","1000","0","1000","0","1","9.645","6424.936","6424.936","1000","1000","0","0","0","3.46","433166746","True","","","2026-03-22T07:56:16.9664838Z","2026-03-22T07:56:28.6872931Z"
"VSAT-1000","VSAT","5","1000","1000","0","1000","0","1","9.64","6453.789","6453.789","1000","1000","0","0","0","0.17","434110464","True","","","2026-03-22T07:56:29.5234959Z","2026-03-22T07:56:41.2663655Z"
"VSAT-1000","VSAT","6","1000","1000","0","1000","0","1","9.384","6250.744","6250.744","1000","1000","0","0","0","0.23","435159040","True","","","2026-03-22T07:56:42.1467919Z","2026-03-22T07:56:54.6828790Z"
"VSAT-1000","VSAT","7","1000","1000","0","1000","0","1","9.979","6814.803","6814.803","1000","1000","0","0","0","0.15","435997901","True","","","2026-03-22T07:56:55.5450612Z","2026-03-22T07:57:07.6168694Z"
"VSAT-1000","VSAT","8","1000","1000","0","1000","0","1","9.649","6509.74","6509.74","1000","1000","0","0","0","0.1","437780480","True","","","2026-03-22T07:57:08.5546688Z","2026-03-22T07:57:20.2758870Z"
"VSAT-1000","VSAT","9","1000","1000","0","1000","0","1","9.418","6182.192","6182.192","1000","1000","0","0","0","0.08","438095053","True","","","2026-03-22T07:57:21.1184525Z","2026-03-22T07:57:32.6782816Z"
"VSAT-1000","VSAT","10","1000","1000","0","1000","0","1","9.254","6189.677","6189.677","1000","1000","0","0","0","0.03","438829056","True","","","2026-03-22T07:57:33.5321363Z","2026-03-22T07:57:45.7325290Z"
"VSAT-1000","VSAT","11","1000","1000","0","1000","0","1","9.426","6287.117","6287.117","1000","1000","0","0","0","0.04","440087347","True","","","2026-03-22T07:57:46.6021257Z","2026-03-22T07:57:58.1102267Z"
"VSAT-1000","VSAT","12","1000","1000","0","1000","0","1","9.799","6685.53","6685.53","1000","1000","0","0","0","0.18","440716493","True","","","2026-03-22T07:57:58.9959392Z","2026-03-22T07:58:10.9357271Z"
"VSAT-1000","VSAT","13","1000","1000","0","1000","0","1","9.769","6573.801","6573.801","1000","1000","0","0","0","0.16","441974784","True","","","2026-03-22T07:58:11.7967851Z","2026-03-22T07:58:23.7139323Z"
"VSAT-1000","VSAT","14","1000","1000","0","1000","0","1","9.481","6339.019","6339.019","1000","1000","0","0","0","0.19","443967078","True","","","2026-03-22T07:58:24.5805072Z","2026-03-22T07:58:36.1288986Z"
"VSAT-1000","VSAT","15","1000","1000","0","1000","0","1","9.756","6617.723","6617.723","1000","1000","0","0","0","0.15","445959373","True","","","2026-03-22T07:58:36.9827879Z","2026-03-22T07:58:48.8219306Z"
"VSAT-5000","VSAT","1","5000","5000","0","5000","0","1","35.335","32160.53","32160.53","5000","5000","0","0","0","0.16","450782822","True","","","2026-03-22T07:58:50.0042423Z","2026-03-22T07:59:27.4110327Z"
"VSAT-5000","VSAT","2","5000","5000","0","5000","0","1","34.755","31626.842","31626.842","5000","5000","0","0","0","0.14","454557696","True","","","2026-03-22T07:59:28.3940737Z","2026-03-22T08:00:05.8853214Z"
"VSAT-5000","VSAT","3","5000","5000","0","5000","0","1","35.294","32084.977","32084.977","5000","5000","0","0","0","0.48","460115149","True","","","2026-03-22T08:00:06.8783326Z","2026-03-22T08:00:44.8611395Z"
"VSAT-5000","VSAT","4","5000","5000","0","5000","0","1","34.942","31633.833","31633.833","5000","5000","0","0","0","0.28","469657190","True","","","2026-03-22T08:00:45.8379049Z","2026-03-22T08:01:22.8598549Z"
"VSAT-5000","VSAT","5","5000","5000","0","5000","0","1","34.862","31738.611","31738.611","5000","5000","0","0","0","0.04","473851494","True","","","2026-03-22T08:01:23.7969575Z","2026-03-22T08:02:00.7535931Z"
"VSAT-5000","VSAT","6","5000","5000","0","5000","0","1","34.531","31353.689","31353.689","5000","5000","0","0","0","0.08","475529216","True","","","2026-03-22T08:02:01.6988296Z","2026-03-22T08:02:38.3271547Z"
"VSAT-5000","VSAT","7","5000","5000","0","5000","0","1","35.185","31990.337","31990.337","5000","5000","0","0","0","0.41","478255514","True","","","2026-03-22T08:02:39.3008934Z","2026-03-22T08:03:16.5715167Z"
"VSAT-5000","VSAT","8","5000","5000","0","5000","0","1","35.195","32015.661","32015.661","5000","5000","0","0","0","0.13","479933235","True","","","2026-03-22T08:03:17.5912484Z","2026-03-22T08:03:54.9607688Z"
"VSAT-5000","VSAT","9","5000","5000","0","5000","0","1","35.062","31805.155","31805.155","5000","5000","0","0","0","0.16","479618662","True","","","2026-03-22T08:03:55.9243224Z","2026-03-22T08:04:34.0354872Z"
"VSAT-5000","VSAT","10","5000","5000","0","5000","0","1","35.952","32637.381","32637.381","5000","5000","0","0","0","0.15","480981811","True","","","2026-03-22T08:04:35.0216143Z","2026-03-22T08:05:14.0516264Z"
"VSAT-5000","VSAT","11","5000","5000","0","5000","0","1","34.6","31392.484","31392.484","5000","5000","0","0","0","0.18","481820672","True","","","2026-03-22T08:05:15.0750392Z","2026-03-22T08:05:51.8032560Z"
"VSAT-5000","VSAT","12","5000","5000","0","5000","0","1","35.232","32062.679","32062.679","5000","5000","0","0","0","0.09","486748979","True","","","2026-03-22T08:05:52.8000364Z","2026-03-22T08:06:30.1150110Z"
"VSAT-5000","VSAT","13","5000","5000","0","5000","0","1","34.97","31836.56","31836.56","5000","5000","0","0","0","0.19","490943283","True","","","2026-03-22T08:06:31.2321628Z","2026-03-22T08:07:08.3405354Z"
"VSAT-5000","VSAT","14","5000","5000","0","5000","0","1","35.124","31988.018","31988.018","5000","5000","0","0","0","0.15","495032730","True","","","2026-03-22T08:07:09.3771793Z","2026-03-22T08:07:46.5809458Z"
"VSAT-5000","VSAT","15","5000","5000","0","5000","0","1","35.385","32090.017","32090.017","5000","5000","0","0","0","3.4","499751322","True","","","2026-03-22T08:07:47.5297621Z","2026-03-22T08:08:25.2810634Z"
"VSAT-10000","VSAT","1","10000","10000","0","10002","0","1","67.634","64502.883","64502.883","10000","10000","0","0","0","0.07","507301069","True","","","2026-03-22T08:08:26.6505794Z","2026-03-22T08:09:37.2686369Z"
