"scenario","repetition","iteration","timestamp_utc","pending_before","pending_after","trigger_latency_ms","response_json"
"LAN-100","1","1","2026-03-22T06:18:11.0689004Z","100","100","53.144","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","2","2026-03-22T06:18:13.1362075Z","100","100","21.454","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","3","2026-03-22T06:18:15.2140967Z","100","100","23.003","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","4","2026-03-22T06:18:17.2905461Z","100","100","26.853","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","5","2026-03-22T06:18:19.3604588Z","100","102","21.415","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":100}"
"LAN-100","1","6","2026-03-22T06:18:21.4446973Z","102","102","31.137","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","7","2026-03-22T06:18:23.5370748Z","102","102","21.622","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","8","2026-03-22T06:18:25.5959031Z","102","102","20.751","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","9","2026-03-22T06:18:27.6576045Z","102","102","20.21","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","10","2026-03-22T06:18:29.7206672Z","102","102","19.853","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","11","2026-03-22T06:18:31.8019599Z","102","102","23.204","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","12","2026-03-22T06:18:33.8661376Z","102","102","20.115","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","13","2026-03-22T06:18:35.9335259Z","102","102","20.192","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","14","2026-03-22T06:18:37.9989177Z","102","102","19.31","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
"LAN-100","1","15","2026-03-22T06:18:40.0681426Z","102","102","21.043","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":102}"
