"scenario","repetition","iteration","timestamp_utc","pending_before","pending_after","trigger_latency_ms","response_json"
"ProgressSmoke","1","1","2026-03-22T05:45:54.5805460Z","10","10","65.24","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","2","2026-03-22T05:45:55.7110904Z","10","10","33.626","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","3","2026-03-22T05:45:56.7814996Z","10","10","21.117","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","4","2026-03-22T05:45:57.8468693Z","10","10","20.911","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","5","2026-03-22T05:45:58.9216625Z","10","10","21.757","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","6","2026-03-22T05:45:59.9917723Z","10","10","21.263","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","7","2026-03-22T05:46:01.0582270Z","10","10","21.328","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","8","2026-03-22T05:46:10.9641892Z","10","10","19.419","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","9","2026-03-22T05:46:12.0391602Z","10","10","21.873","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","10","2026-03-22T05:46:13.0950479Z","10","10","19.691","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","11","2026-03-22T05:46:14.1618066Z","10","10","21.526","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","12","2026-03-22T05:46:15.2307246Z","10","10","20.691","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","13","2026-03-22T05:46:16.2978908Z","10","10","19.592","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","14","2026-03-22T05:46:17.3663963Z","10","10","20.435","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","15","2026-03-22T05:46:18.4396730Z","10","10","19.364","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","16","2026-03-22T05:46:19.5107697Z","10","10","20.672","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","17","2026-03-22T05:46:20.5817827Z","10","10","20.823","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","18","2026-03-22T05:46:21.6382416Z","10","10","21.477","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","19","2026-03-22T05:46:22.7167619Z","10","10","21.782","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
"ProgressSmoke","1","20","2026-03-22T05:46:23.7917532Z","10","10","21.582","{""message"":""Đồng bộ hoàn tất"",""totalSynced"":0,""pendingRecords"":10}"
